store_name,street,city,state,zip,final_zip_pred,Population,Zip,County,AverageMbps,FastestAverageMbps
Trader Joe's Sandy Springs (731),6277 Roswell Road NE,Sandy Springs,GA,30328,0.1030289675400293,30348.0,30328,Fulton,138.77,325.21
Trader Joe's Folsom (172),850 East Bidwell,Folsom,CA,95630,0.1084773398175317,72180.0,95630,Sacramento,77.14,222.47
Trader Joe's Glenview (681),1407 Waukegan Rd,Glenview,IL,60025,0.0698510638890036,39105.0,60025,Cook,158.71,302.24
Trader Joe's Medford (155),55 Rossanley Dr,Medford,OR,97501,0.2975412652974923,42117.0,97501,Jackson,64.43,121.66
Trader Joe's Redlands (99),552 Orange St,Redlands,CA,92374,0.1346286151561944,40267.0,92374,San Bernardino,90.83,203.34
Trader Joe's Berkeley (186),1885 University Ave,Berkeley,CA,94703,0.0411907753643275,19846.0,94703,Alameda,97.73,308.2
Trader Joe's West Seattle (157),4545 Fauntleroy Way SW,Seattle,WA,98116,0.0389383302324437,22241.0,98116,King,121.64,325.99
Trader Joe's Paramus (605),404 Rt 17 N,Paramus,NJ,07652,0.0965397905289185,26342.0,07652,Bergen,109.73,227.11
Trader Joe's Orange (524),560 Boston Post Rd,Orange,CT,06477,0.0629104980724039,13956.0,06477,New Haven,75.48,186.49
Trader Joe's Bend (150),63455 N Hwy 97,Bend,OR,97701,0.1559707999603629,58993.0,97701,Deschutes,79.59,175.48
Trader Joe's Saugus (506),358 Broadway,Saugus,MA,01906,0.1310024953679593,26660.0,01906,Essex,116.49,305.83
Trader Joe's Tucson - Crossroads (88),4766 E Grant Rd,Tucson,AZ,85712,0.1906976965021622,32666.0,85712,Pima,79.61,264.52
Trader Joe's Tucson (95),1101 N Wilmot Rd,Tucson,AZ,85712,0.1906976965021622,32666.0,85712,Pima,79.61,264.52
Trader Joe's Arlington Heights (687),17 W Rand Rd,Arlington Heights,IL,60004,0.08399389663133601,50582.0,60004,Cook,102.58,283.95
Trader Joe's Staten Island (559),2385 Richmond Ave,Staten Island,NY,10314,0.088910976399673,85510.0,10314,Richmond,112.51,301.45
Trader Joe's USC Village (250),3131 S Hoover Street,Los Angeles,CA,90089,0.0109234599916267,3217.0,90089,Los Angeles,122.96,297.15
Trader Joe's Albuquerque (167),2200 Uptown Loop NE,Albuquerque,NM,87110,0.0844349590451673,38587.0,87110,Bernalillo,28.47,73.07
Trader Joe's Lake Zurich (684),735 W Route 22,Lake Zurich,IL,60047,0.0962521002112896,41669.0,60047,Lake,135.69,295.53
Trader Joe's Larkspur (235),2052 Redwood Hwy,Greenbrae,CA,94904,0.0455939707353821,11995.0,94904,Marin,37.84,67.14
Trader Joe's Syracuse (537),3422 Erie Blvd E,Syracuse,NY,13214,0.0610564458335306,8793.0,13214,Onondaga,81.67,232.74
Trader Joe's Olympia (156),1530 Black Lake Blvd SW,Olympia,WA,98502,0.134433338589013,30491.0,98502,Thurston,102.97,298.11
Trader Joe's Framingham (503),659 Worcester Rd,Framingham,MA,01701,0.0696005762818159,31217.0,01701,Middlesex,95.15,222.19
Trader Joe's Laguna Niguel - Ocean Ranch (103),32351 Street of the Golden Lantern,Laguna Niguel,CA,92677,0.0929953657379739,63297.0,92677,Orange,130.51,277.23
Trader Joe's Chapel Hill (745),1800 E Franklin St,Chapel Hill,NC,27514,0.0459248168077446,32110.0,27514,Orange,118.96,331.73
Trader Joe's Kenwood (669),7788 Montgomery Rd,Cincinnati,OH,45236,0.1271658010129578,24552.0,45236,Hamilton,126.86,269.0
Trader Joe's Chicago - South Loop (701),1147 S Wabash Ave,Chicago,IL,60605,0.0511196187494266,24668.0,60605,Cook,112.97,274.45
Trader Joe's North Hollywood (252),6130 Laurel Canyon Bl,North Hollywood,CA,91606,0.0962402543959164,44958.0,91606,Los Angeles,104.72,243.94
